followers,following,date_creation,description
136654671,242,2009-06-02,nothing
136655080,242,2009-06-02,nothing
136655063,242,2009-06-02,nothing
136655035,242,2009-06-02,nothing
136655063,242,2009-06-02,nothing
136655035,242,2009-06-02,nothing
136655080,242,2009-06-02,nothing
136655131,242,2009-06-02,nothing
136655113,242,2009-06-02,nothing
136655112,242,2009-06-02,nothing
136655156,242,2009-06-02,nothing
136655200,242,2009-06-02,nothing
136655432,242,2009-06-02,nothing
136655563,242,2009-06-02,nothing
136655721,242,2009-06-02,nothing
136655882,242,2009-06-02,nothing
136656068,242,2009-06-02,nothing
136656211,242,2009-06-02,nothing
136656360,242,2009-06-02,nothing
136656486,242,2009-06-02,nothing
136656692,242,2009-06-02,nothing
136656798,242,2009-06-02,nothing
136606775,243,2009-06-02,nothing
136657160,242,2009-06-02,nothing
